community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,2,0.5304434643194063,0.13425970167085122,0.0,另 一,另 一,另 一,另 一
2,1,,0.0,0.0,一一,一一,一一,一一
3,9,0.5873708716024936,0.21506804318401918,0.0,忽然 猛然 突然 顿时 一瞬间 瞬间 骤然 一下子 一刹那,骤然 一刹那 忽然 猛然 突然 一下子 顿时 一瞬间,一瞬间 瞬间 一下子 骤然 突然 忽然 猛然 一刹那 顿时,忽然 猛然 突然 顿时 一瞬间 瞬间 骤然 一下子 一刹那
4,4,0.46923149351838606,0.013652647379430512,0.75,不慎 一不小心 不幸 误,误 一不小心 不幸 不慎,不幸 一不小心 不慎 误,不慎 一不小心 不幸 误
5,3,0.5014880134876297,0.13374775418149923,0.0,一鼓作气 一口气 一举,一举 一口气 一鼓作气,一鼓作气 一口气 一举,一鼓作气 一口气 一举
6,7,0.544008254035271,0.15362771339633938,0.0,言行 举动 一言一行 一举一动 举止 所作所为 行为,举止 行为 一言一行 举动 所作所为 言行 一举一动,举动 行为 举止 言行 一举一动 所作所为 一言一行,言行 举动 一言一行 一举一动 举止 所作所为 行为
7,4,0.5401232571250565,0.12279887164275005,0.25,无所事事 一事无成 一无所有 无所作为,一无所有 无所作为 无所事事 一事无成,无所作为 无所事事 一无所有 一事无成,无所事事 一事无成 一无所有 无所作为
8,10,0.5511993061559528,0.09536345699437128,0.3,许多 众多 不少 无数 大批 诸多 大量 好多 一些 成千上万,大量 成千上万 一些 诸多 大批 好多 无数 不少,不少 许多 无数 大批 大量 好多 众多 诸多 一些 成千上万,许多 众多 不少 无数 大批 诸多 大量 好多 一些 成千上万
9,4,0.5314095787166125,0.21186207926751466,0.0,一代 代 下一代 世代,世代 下一代 代 一代,代 世代 下一代 一代,一代 代 下一代 世代
10,4,0.5839915943748785,0.187678917020018,0.0,好久 半天 一会儿 多久,多久 一会儿 半天 好久,一会儿 多久 好久 半天,好久 半天 一会儿 多久
11,1,,0.0,0.0,一体,一体,一体,一体
12,10,0.5721271107716329,0.2320700012461186,0.1,共计 总共 总计 共 一共 合计 共有 累计 约 折合,约 累计 折合 共有 一共 总计 合计 总共,共有 共 约 总共 总计 合计 折合 共计 一共 累计,共计 总共 总计 共 一共 合计 共有 累计 约 折合
13,10,0.5141923126742369,0.07105294061428148,0.3,屡次 一再 多次 再次 频频 再度 三番五次 屡 再三 频繁,再度 再次 再三 频繁 频频 三番五次 屡 多次,屡 频繁 三番五次 再度 再三 再次 多次 频频 屡次 一再,屡次 一再 多次 再次 频频 再度 三番五次 屡 再三 频繁
14,3,0.4911121762458433,0.03427841588694621,0.3333333333333333,一概 一律 一切,一切 一律 一概,一概 一切 一律,一概 一律 一切
15,9,0.5548385126122553,0.10462456085901649,0.1111111111111111,哆嗦 发抖 颤抖 惨白 发愣 一动不动 通红 浑身 动弹,浑身 发愣 一动不动 通红 动弹 惨白 颤抖 哆嗦,浑身 一动不动 哆嗦 发愣 发抖 惨白 动弹 颤抖 通红,哆嗦 发抖 颤抖 惨白 发愣 一动不动 通红 浑身 动弹
16,2,0.5351153715144397,0.14391740533167824,0.0,一半 半,一半 半,半 一半,一半 半
17,2,0.5903927107260063,0.22733877704590855,0.0,一卡通 磁卡,一卡通 磁卡,一卡通 磁卡,一卡通 磁卡
18,6,0.5491336222770837,0.15367318700925311,0.0,俗话 俗语 一句话 句 名言 俗话说,俗话说 句 一句话 俗语 名言 俗话,俗话说 句 名言 俗话 俗语 一句话,俗话 俗语 一句话 句 名言 俗话说
19,4,0.6255158401783035,0.2936109315911455,0.0,一起 一同 一块儿 一齐,一齐 一块儿 一同 一起,一齐 一起 一块儿 一同,一起 一同 一块儿 一齐
20,5,0.5840423408863228,0.27462603399272434,0.0,一向 向来 一贯 历来 一如既往,一如既往 历来 一贯 向来 一向,历来 一贯 一如既往 向来 一向,一向 向来 一贯 历来 一如既往
21,6,0.5437728072870879,0.09168927410305333,0.16666666666666666,过分 过于 过度 盲目 过早 一味,一味 过早 盲目 过度 过于 过分,盲目 过度 过分 过于 一味 过早,过分 过于 过度 盲目 过早 一味
22,4,0.45979677297960714,-0.0337403247954828,0.75,一塌糊涂 够呛 一干二净 厉害,厉害 一干二净 够呛 一塌糊涂,厉害 够呛 一塌糊涂 一干二净,一塌糊涂 够呛 一干二净 厉害
23,8,0.5155734482051042,0.02916415133330738,0.125,一言不发 一声不吭 漠然 不耐烦 不理 爱理不理 冷淡 沉默,冷淡 沉默 不耐烦 爱理不理 不理 一声不吭 一言不发 漠然,一声不吭 一言不发 爱理不理 不理 冷淡 不耐烦 漠然 沉默,一言不发 一声不吭 漠然 不耐烦 不理 爱理不理 冷淡 沉默
24,28,0.549802330804468,0.04885915974972168,0.35714285714285715,晚上 傍晚 早晨 早上 中午 下午 清晨 夜里 上午 凌晨 一早 深夜,星期天 夜晚 黄昏 明天 当天 今天 次日 昨天,昨天 早晨 下午 凌晨 一大早 晚间 上午 晚 次日 晚上 中午 明天,晚上 傍晚 早晨 早上 中午 下午 清晨 夜里 上午 凌晨 一早 深夜 一大早 半夜 白天 夜晚 当晚 昨天 前天 晚 夜间 次日 当天 晚间 明天 今天 星期天 黄昏
