community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,14,0.5804582588892292,0.3141849402604189,0.14285714285714285,四 五 六 三 七 八 九 十 二 两 第二 几,几 一 两 十 第 第二 二 九,第二 六 八 几 十 四 二 五 九 两 一 七,四 五 六 三 七 八 九 十 二 两 第二 几 第 一
2,14,0.4179598165380895,0.050933400325746295,0.2857142857142857,全都 统统 通通 全部 皆 一律 所有 几乎 一概 一切 无不 一一,都会 几乎 其余 一一 无不 一切 皆 所有,皆 通通 无不 几乎 都会 其余 所有 统统 全都 全部 一概 一切,全都 统统 通通 全部 皆 一律 所有 几乎 一概 一切 无不 一一 都会 其余
3,24,0.4458957167899071,0.03726232276518864,0.20833333333333334,忽然 猛然 突然 顿时 一下子 渐渐 一瞬间 不由得 骤然 不知不觉 瞬间 不由自主,自然而然 缓缓 一刹那 终于 慢慢 一瞬间 一不小心 转眼,一瞬间 自然而然 不经意 一不小心 渐渐 不禁 瞬间 不由自主 不由得 一下子 不知不觉 不一会儿,忽然 猛然 突然 顿时 一下子 渐渐 一瞬间 不由得 骤然 不知不觉 瞬间 不由自主 慢慢 一刹那 转眼 不禁 仿佛 缓缓 自然而然 一晃 一不小心 不经意 不一会儿 终于
4,4,0.34921895925618496,-0.017880724184589813,0.75,收复 收回 解放 一举,一举 收回 解放 收复,收回 收复 解放 一举,收复 收回 解放 一举
5,14,0.4325343485061159,0.07080058340935912,0.14285714285714285,言论 言行 言辞 讲话 发言 言语 话语 举动 一言一行 演说 表态 所作所为,发表 一言一行 表态 举动 一举一动 发言 演说 讲话,演说 举动 言语 言论 言行 言辞 一举一动 讲话 所作所为 话语 发表 发言,言论 言行 言辞 讲话 发言 言语 话语 举动 一言一行 演说 表态 所作所为 一举一动 发表
6,11,0.4263984578536124,0.010284957720895228,0.36363636363636365,无能为力 一无所有 无所事事 一事无成 无所作为 一无所知 一筹莫展 走投无路 无话可说 无济于事 无家可归,无家可归 无济于事 无话可说 一筹莫展 一无所知 走投无路 无所作为 无能为力,无济于事 无所作为 无能为力 无话可说 一筹莫展 走投无路 无家可归 一无所知 无所事事 一无所有 一事无成,无能为力 一无所有 无所事事 一事无成 无所作为 一无所知 一筹莫展 走投无路 无话可说 无济于事 无家可归
7,24,0.4317817728458296,0.009255099847077895,0.3333333333333333,许多 大多数 不少 绝大多数 大部分 一些 多数 众多 好多 大量 大批 部分,有的 这些 半数 少量 广大 无数 些 个别,少量 些 不少 部分 许多 无数 那些 有的 多数 这些 绝大多数 大批,许多 大多数 不少 绝大多数 大部分 一些 多数 众多 好多 大量 大批 部分 那些 少数 这些 无数 一部分 个别 半数 有的 成千上万 少量 些 广大
8,3,0.5756531560162128,0.32927385381727964,0.0,一代 代 下一代,下一代 代 一代,代 下一代 一代,一代 代 下一代
9,82,0.41135879675115244,-0.058879093792447865,0.6951219512195121,小声 扭头 摇头 苦笑 发愣 大声 咧嘴 点头 冷笑 连忙 哆嗦 一声不吭,说道 低头 回头 神情 急忙 过头 口气 异口同声,哀求 插嘴 一声不吭 脱口而出 转身 慌忙 停下 嚷 流泪 一言不发 一会儿 大模大样,小声 扭头 摇头 苦笑 发愣 大声 咧嘴 点头 冷笑 连忙 哆嗦 一声不吭 一言不发 自言自语 赶忙 眉开眼笑 插嘴 走开 愣 坐下 笑 瞪 慌忙 嬉笑 急忙 忍不住 打岔 目不转睛 神情 一动不动 招呼 迟疑 得意扬扬 目瞪口呆 嚷 一眼 脸色 告辞 说道 一旁 呜咽 眼色 示意 使劲 低头 转身 站住 交头接耳 哀求 下意识 通红 反问 会意 微笑 打量 伸手 吩咐 面红耳赤 前仰后合 招手 眨眼 发抖 情不自禁 口气 指着 禁不住 一会儿 回头 半真半假 沉思 东张西望 过头 停下 七嘴八舌 沉默 连滚带爬 左顾右盼 大模大样 灵机一动 流泪 异口同声 脱口而出
10,3,0.37424064145510205,0.041341944918608785,0.3333333333333333,一体 一身 为主,为主 一身 一体,一身 为主 一体,一体 一身 为主
11,15,0.4749240978809371,0.13875301421292602,0.26666666666666666,共计 总共 总计 共 一共 合计 约 累计 共有 大约 仅 折合,先后 平均 折合 大约 分别 累计 仅 共有,共有 共 仅 约 总共 总计 合计 大约 折合 共计 分别 先后,共计 总共 总计 共 一共 合计 约 累计 共有 大约 仅 折合 平均 分别 先后
12,16,0.4420271246528688,0.0242245620285646,0.4375,屡次 多次 频频 一再 接连 再度 再次 屡 三番五次 接二连三 频繁 相继,再次 再度 不停 相继 反复 一度 接连 曾,屡 频繁 三番五次 不停 曾 再度 再次 多次 接二连三 反复 相继 频频,屡次 多次 频频 一再 接连 再度 再次 屡 三番五次 接二连三 频繁 相继 曾 反复 一度 不停
13,4,0.4469009100492593,0.0946232947367624,0.0,一半 半 过半 将近,将近 过半 一半 半,半 将近 过半 一半,一半 半 过半 将近
14,25,0.4336365891715486,0.04919502047396394,0.2,支票 存折 银行卡 收据 身份证 发票 挂失 汇款 证件 信用卡 取款 账单,钱包 印章 付款 钞票 卡片 证件 身份证 信用卡,取款 卡 钱包 挂失 一卡通 取款机 印章 信用卡 欠条 付款 凭证 汇款,支票 存折 银行卡 收据 身份证 发票 挂失 汇款 证件 信用卡 取款 账单 护照 凭证 卡片 借条 欠条 磁卡 一卡通 钞票 付款 取款机 钱包 印章 卡
15,3,0.42434852129198464,0.06346326750657001,0.0,口 口吃 一口气,一口气 口吃 口,口 一口气 口吃,口 口吃 一口气
16,13,0.4002274290192254,0.04292364879112605,0.46153846153846156,俗话 俗语 一句话 名言 句 俗话说 说法 话 古人 比喻 字眼 口号,所谓 古人 口号 字眼 比喻 说法 话 句,俗话说 句 古人 名言 俗话 俗语 话 说法 一句话 口号 所谓 比喻,俗话 俗语 一句话 名言 句 俗话说 说法 话 古人 比喻 字眼 口号 所谓
17,6,0.44435564616855744,0.07893294160278157,0.3333333333333333,一起 一同 一块儿 陪 相约 一道,一道 陪 相约 一同 一块儿 一起,一道 一起 陪 一块儿 相约 一同,一起 一同 一块儿 陪 相约 一道
18,11,0.49529508448678017,0.1727720019037899,0.0,一向 向来 一贯 始终 一直 历来 从来 长期以来 多年来 自始至终 一如既往,多年来 从来 一如既往 长期以来 自始至终 一直 历来 始终,始终 历来 一贯 从来 多年来 一如既往 长期以来 向来 自始至终 一直 一向,一向 向来 一贯 始终 一直 历来 从来 长期以来 多年来 自始至终 一如既往
19,12,0.41540520454167806,0.028964618659024083,0.5,单纯 笼统 简单 片面 生硬 抽象 纯粹 似是而非 模糊 含糊 一味 单一,简单 似是而非 一味 生硬 含糊 单一 模糊 抽象,简单 纯粹 笼统 模糊 生硬 片面 单纯 单一 抽象 一味 似是而非 含糊,单纯 笼统 简单 片面 生硬 抽象 纯粹 似是而非 模糊 含糊 一味 单一
20,4,0.4486647939126443,0.11404308789822873,0.0,一塌糊涂 一干二净 一锅粥 面目全非,一锅粥 面目全非 一干二净 一塌糊涂,一锅粥 面目全非 一塌糊涂 一干二净,一塌糊涂 一干二净 一锅粥 面目全非
21,54,0.4369470506273025,0.05813181196569643,0.37037037037037035,晚上 早上 早晨 中午 傍晚 夜里 下午 清晨 半夜 深夜 上午 凌晨,醒来 准时 放学 出门 睡 今日 彻夜 明日,昨天 早晨 起床 彻夜 下午 通宵 凌晨 开夜车 夜 一大早 睡 晚饭,晚上 早上 早晨 中午 傍晚 夜里 下午 清晨 半夜 深夜 上午 凌晨 一早 晚饭 一大早 起床 白天 夜晚 下班 早饭 午饭 星期天 当晚 晚 夜间 前天 昨天 明天 午睡 次日 黄昏 醒来 晚间 通宵 放学 今天 星期日 当天 上班 从早到晚 夜班 睡 日夜 夜 熬夜 加班 准时 出门 开夜车 彻夜 当日 明日 日 今日
22,24,0.4473372508163802,0.07179156650313233,0.16666666666666666,时常 常常 经常 时不时 有时 偶尔 有时候 成天 不时 整天 老是 一天到晚,平常 免不了 有人 难免 常年 不免 时而 一年到头,时常 时时 常 动不动 不免 不时 一天到晚 有时候 偶尔 一年到头 时而 有时,时常 常常 经常 时不时 有时 偶尔 有时候 成天 不时 整天 老是 一天到晚 平时 时时 常 免不了 时而 难免 不免 动不动 一年到头 平常 常年 有人
23,4,0.4510583091986084,0.15091864229883853,0.0,骏马 匹 驮 一头,驮 一头 匹 骏马,匹 骏马 驮 一头,骏马 匹 驮 一头
24,10,0.44461187058049184,0.06151195903213726,0.3,必然 势必 迟早 必将 注定 不可避免 不一定 一定 否则 必,迟早 必 不可避免 注定 否则 不一定 一定 必将,必 否则 不可避免 不一定 必将 必然 势必 迟早 注定 一定,必然 势必 迟早 必将 注定 不可避免 不一定 一定 否则 必
25,139,0.4388375682829108,0.0006555641656778748,0.4892086330935252,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶 妈妈 爸 闺女 母亲,老王 父女 她们 母女 亲属 朋友 你 别人,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶 妈妈 爸 闺女 母亲 姥姥 爷爷 弟弟 媳妇 父亲 女儿 儿子 老婆 妈 爹 姥爷 叔叔 伯母 外婆 大姐 孙女 父母 伯父 老公 丈夫 外公 阿姨 大哥 岳母 妻子 祖母 孩子 亲戚 岳父 老太太 长辈 姐 家人 大爷 她 男朋友 太太 伯伯 女朋友 继父 娘 孙子 老伴儿 女婿 姑娘 小孩儿 爱人 继母 姨 老头儿 妹 丫头 邻居 老乡 师父 老人家 朋友 亲人 同学 弟 女孩儿 大妈 大人 老汉 他 儿女 我 两口子 老人 小伙子 老师 你 亲生 男人 女人 家里 师傅 祖父 同事 贪玩儿 寡妇 母女 男孩儿 姐妹 小偷儿 一家人 老家 人家 徒弟 同伴 俩 她们 家伙 保姆 老王 恩人 女生 胖子 小朋友 别人 回家 男生 宝宝 战友 亲友 老大 小时候 老板 新娘 小姐 娶 亲朋好友 乡亲 仇人 哥 父女 乡下 情人 全家 主人 家长 乖 子女 帅哥 夫人 班长 亲属
26,3,0.4074399088350646,0.0370652555872079,0.6666666666666666,鹏程万里 一帆风顺 万古长青,一帆风顺 万古长青 鹏程万里,一帆风顺 鹏程万里 万古长青,鹏程万里 一帆风顺 万古长青
27,8,0.446467784316351,0.10995540748816082,0.125,区域 地区 沿线 地段 一带 周边 地带 附近,地区 附近 地带 地段 区域 周边 沿线 一带,区域 周边 地区 地带 地段 沿线 一带 附近,区域 地区 沿线 地段 一带 周边 地带 附近
28,6,0.4949614262370678,0.17383865806952156,0.0,齐全 一应俱全 完备 设施 应有尽有 配套,完备 配套 设施 应有尽有 齐全 一应俱全,齐全 完备 配套 一应俱全 应有尽有 设施,齐全 一应俱全 完备 设施 应有尽有 配套
29,10,0.4422865812311575,0.045685051214061974,0.5,一心一意 死心塌地 甘心 痴心 全心全意 死心 一心 一辈子 默默 遂心,一辈子 遂心 死心 默默 甘心 痴心 全心全意 一心,一辈子 死心塌地 痴心 默默 死心 遂心 一心一意 全心全意 一心 甘心,一心一意 死心塌地 甘心 痴心 全心全意 死心 一心 一辈子 默默 遂心
30,3,0.3800742731966648,0.026349543862231716,0.3333333333333333,过时 一成不变 与时俱进,一成不变 与时俱进 过时,与时俱进 一成不变 过时,过时 一成不变 与时俱进
31,2,0.4059884613622391,0.03530807151427942,0.0,一手 二手,二手 一手,二手 一手,一手 二手
32,16,0.4413825436466773,0.032985838839452476,0.3125,功底 功力 天分 基本功 技艺 天赋 技巧 绝技 本领 手艺 技能 功夫,功夫 用功 底子 天赋 技巧 高超 本领 一技之长,技艺 技能 绝技 功力 功夫 功底 用功 一技之长 技巧 基本功 底子 天赋,功底 功力 天分 基本功 技艺 天赋 技巧 绝技 本领 手艺 技能 功夫 一技之长 高超 底子 用功
33,1,,0.0,0.0,一把手,一把手,一把手,一把手
34,1,,0.0,0.0,一揽子,一揽子,一揽子,一揽子
35,5,0.5144514081816711,0.20654087049154132,0.0,方面 多方面 方方面面 层面 一方面,一方面 层面 方方面面 多方面 方面,多方面 方面 一方面 层面 方方面面,方面 多方面 方方面面 层面 一方面
36,8,0.44823155698646083,0.1183804520666438,0.125,不论 无论 凡是 每当 一旦 若 当 凡,每当 凡是 一旦 凡 当 若 无论 不论,无论 凡 当 每当 不论 若 凡是 一旦,不论 无论 凡是 每当 一旦 若 当 凡
37,1,,0.0,0.0,一时,一时,一时,一时
38,19,0.43522982543058325,0.06918670869403921,0.21052631578947367,相似 相同 一模一样 截然不同 有所不同 不同 大同小异 不相上下 一样 雷同 息息相关 类似,类似 同等 吻合 一样 不相上下 雷同 息息相关 与众不同,不同 息息相关 一模一样 无关 大同小异 雷同 同等 有所不同 相同 类似 相似 格格不入,相似 相同 一模一样 截然不同 有所不同 不同 大同小异 不相上下 一样 雷同 息息相关 类似 格格不入 吻合 相提并论 无关 与众不同 密不可分 同等
