community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,14,0.5804582588892292,0.34705415857602684,0.0,四 五 六 三 七 八 九 十 二 两 第二 几,一 几 第 十 二 第二 两 九,第二 六 八 几 十 四 二 五 九 两 一 七,四 五 六 三 七 八 九 十 二 两 第二 几 第 一
2,13,0.43586900662868533,0.09609376891126664,0.15384615384615385,全都 统统 通通 全部 皆 一概 一律 几乎 大都 一切 无不 完全,一一 无不 完全 一切 大都 几乎 皆 一律,皆 通通 无不 完全 几乎 大都 统统 全都 全部 一概 一切 一律,全都 统统 通通 全部 皆 一概 一律 几乎 大都 一切 无不 完全 一一
3,48,0.4300929660372847,0.008810811560631654,0.3958333333333333,急忙 赶忙 连忙 慌忙 立刻 赶紧 忽然 忍不住 立即 随即 猛然 马上,趁机 只得 顾不得 不得不 只好 纷纷 不约而同 顺手,不得不 慌忙 便 立刻 立即 只得 只好 顺手 禁不住 不禁 趁机 不由自主,急忙 赶忙 连忙 慌忙 立刻 赶紧 忽然 忍不住 立即 随即 猛然 马上 当即 不由得 突然 情不自禁 索性 毫不犹豫 顿时 悄悄 只好 禁不住 赶快 不禁 便 不由自主 只得 偷偷 毅然 下意识 顾不得 匆匆 恨不得 迫不及待 干脆 灵机一动 一下子 不得不 趁机 纷纷 连滚带爬 火速 不假思索 顺手 匆忙 不约而同 连夜 不一会儿
4,7,0.42165085519719014,0.081457810985005,0.14285714285714285,不知不觉 不经意 一不小心 无形中 不慎 不料 潜移默化,潜移默化 不料 不慎 无形中 不经意 一不小心 不知不觉,不经意 一不小心 不料 不慎 不知不觉 潜移默化 无形中,不知不觉 不经意 一不小心 无形中 不慎 不料 潜移默化
5,4,0.4302564657900218,0.059006012544829914,0.25,一鼓作气 一举 一口气 收复,收复 一口气 一举 一鼓作气,一鼓作气 收复 一口气 一举,一鼓作气 一举 一口气 收复
6,5,0.5514554735126858,0.27778783625246095,0.0,言行 一言一行 所作所为 一举一动 行为,一言一行 行为 一举一动 所作所为 言行,行为 言行 一举一动 所作所为 一言一行,言行 一言一行 所作所为 一举一动 行为
7,9,0.43590857548046735,0.05794700133346399,0.2222222222222222,无所事事 一无所有 无所作为 一无所知 一事无成 无足轻重 无所谓 毫无 默默无闻,毫无 无所谓 一无所知 无足轻重 默默无闻 一事无成 无所作为 一无所有,无所谓 无所作为 毫无 一无所知 无所事事 一无所有 一事无成 无足轻重 默默无闻,无所事事 一无所有 无所作为 一无所知 一事无成 无足轻重 无所谓 毫无 默默无闻
8,24,0.43467951248128067,0.025753873566692943,0.4166666666666667,大多数 大部分 许多 绝大多数 多数 不少 一些 大多 部分 好多 众多 大量,这些 些 少量 半数 其余 众多 有的 个别,少量 些 不少 部分 许多 那些 有的 大多 多数 这些 绝大多数 大批,大多数 大部分 许多 绝大多数 多数 不少 一些 大多 部分 好多 众多 大量 那些 这些 少数 一部分 大批 个别 半数 有的 少量 所有 些 其余
9,3,0.5756531560162128,0.32760610205642043,0.0,一代 代 下一代,下一代 代 一代,代 下一代 一代,一代 代 下一代
10,48,0.4191379535434815,-0.006589896364124776,0.3958333333333333,扭头 摇头 小声 点头 坐下 走开 咧嘴 一言不发 招呼 一眼 大声 瞪,说道 递给 鞠躬 摇头 偷看 大声 回头 挥,一声不吭 转身 停下 一言不发 一会儿 前仰后合 笑 瞪 一动不动 打量 咧嘴 挥,扭头 摇头 小声 点头 坐下 走开 咧嘴 一言不发 招呼 一眼 大声 瞪 笑 一声不吭 招手 示意 目不转睛 低头 眉开眼笑 转身 嬉笑 告辞 打量 愣 回头 一动不动 眼色 微笑 眨眼 站住 伸手 会意 说道 交头接耳 停下 打招呼 过头 一会儿 递给 东张西望 指着 前仰后合 左顾右盼 抬头 鞠躬 沉默 挥 偷看
11,2,0.4150197290199573,0.10752465688837003,0.0,为主 一体,一体 为主,为主 一体,为主 一体
