community,size,mean_pair_cosine,mean_cosine_silhouette,negative_silhouette_fraction,representatives,boundary_words,deterministic_sample,all_members
0,1,,0.0,0.0,〇,〇,〇,〇
1,16,0.5094516583170214,0.2842541547053434,0.125,四 五 六 三 七 八 九 二 第二 十 两 几,章 另 一 几 十 二 第 两,第二 六 八 几 十 另 四 二 五 九 两 一,四 五 六 三 七 八 九 二 第二 十 两 几 第 一 另 章
2,37,0.3495414225360734,0.03369087997839313,0.40540540540540543,大部分 大多 绝大多数 大都 大多数 多数 全都 基本上 全部 几乎 统统 大体上,有的 全 半数 总体 一切 一一 个别 普遍,通常 基本 全 一般 部分 皆 通通 总体 无不 大体上 完全 或多或少,大部分 大多 绝大多数 大都 大多数 多数 全都 基本上 全部 几乎 统统 大体上 一般 通常 所有 其余 基本 大体 普遍 皆 半数 通通 完全 一律 或多或少 部分 一概 一部分 大致 一切 有的 全 无不 少数 个别 总体 一一
3,88,0.3375229146983452,0.015820200280595435,0.4772727272727273,急忙 赶忙 立刻 忽然 赶紧 马上 突然 猛然 悄悄 随即 顿时 便,一齐 无形中 潜移默化 递给 当场 即将 回头 顺便,一瞬间 不得不 已经 转身 不得已 一齐 刚 已 自然而然 不经意 便 一会儿,急忙 赶忙 立刻 忽然 赶紧 马上 突然 猛然 悄悄 随即 顿时 便 立即 一下子 渐渐 当即 匆匆 索性 偷偷 慢慢 毫不犹豫 毅然 赶快 火速 缓缓 早就 只好 纷纷 不由自主 顺手 趁机 终于 迫不及待 转眼 不一会儿 骤然 只得 转身 接着 干脆 早已 刚刚 自然而然 迅速 不知不觉 不得不 灵机一动 恨不得 一齐 顾不得 刚 不约而同 瞬间 已经 快要 一瞬间 一会儿 不假思索 连夜 随手 紧接着 特意 相继 不得已 果断 争先恐后 特地 一刹那 被迫 不经意 这时 顺便 逐渐 陆续 一晃 当场 莫名其妙 照例 眼看 递给 飞速 徐徐 回头 无形中 已 不惜 即将 潜移默化
4,300,0.3225209529126037,-0.03980951043400258,0.6266666666666667,就算 要是 难道 不然 要不然 也许 要不 好歹 可是 好像 毕竟 说不定,怎样 就是 怎么样 似的 的话 哪里 完了 仍,说到底 如果 没关系 纵然 看来 倘若 拜托 不像话 怎么 按说 不得了 是不是,就算 要是 难道 不然 要不然 也许 要不 好歹 可是 好像 毕竟 说不定 真的 反正 是不是 别说 唉 当然 没准儿 倒是 何况 哎 偏偏 只不过 明明 果然 恐怕 确实 看样子 也 其实 你 说真的 但是 嘛 既然 再说 啊 当真 居然 的确 觉得 说实话 那 反倒 哪怕 虽说 哎呀 怎么 肯定 要不是 怕 纵然 哈哈 果真 呀 简直 你们 怪不得 终究 竟然 不光 这会儿 那么 似乎 按说 咱 不过 莫非 幸好 况且 不见得 实在 就 可不是 何苦 干吗 人家 本来 起码 顶多 何必 非得 如果 幸亏 可惜 或许 都 还是 固然 没错 只是 敢情 说不上 因为 显然 虽然 照样 知道 而且 有时候 没想到 谁 为什么 咱们 不管 所以 按理说 仿佛 却 不如说 即使 好在 晓得 真 不要紧 不一定 说白了 难怪 没事儿 生怕 未必 要么 即便 只要 反而 说到底 感觉 应该 老是 那时候 免得 说 大概 玩意儿 但 多半 未免 但愿 真心 以为 呢 不知 就是 没关系 巴不得 无非 不用说 才 假如 还 据说 没 实际上 吗 待会儿 一点儿 想 嘿 活该 没说的 离谱儿 不行 不但 这么 想不到 很难说 这时候 好比 假使 总算 听说 然而 什么 必定 倘若 那会儿 说老实话 难说 又 好似 吧 究竟 唯独 挺好 恰恰 如果说 到头来 就是说 快点儿 没法儿 用不着 这 哇 好说 那时 可能 而是 然后 除非 迟早 看起来 总是 不要 怎么办 算是 拜托 到底 着实 用得着 也好 哦 别 哪 看来 刚好 实话 正好 不至于 无论如何 有没有 没什么 干什么 至于 于是 一不小心 不仅 否则 回去 对不起 哪儿 不仅仅 往往 多亏 甚至 动不动 没用 不算 竟 的话 罢了 尤其 却是 废话 必然 不免 不像话 既 恰好 请问 甚至于 看似 难免 仅仅 实话实说 怎么样 啦 似的 够 不料 注定 好好 同样 哪里 或是 不敢当 或者 岂有此理 算了 好 好家伙 完了 依然 为何 不对 并且 够呛 虽 一旦 无疑 不得了 改日 无论 仍然 依旧 而 尽管 仍旧 请坐 并非 是否 势必 可谓 正是 不怎么样 怎样 更是 则 亦 仍
5,26,0.35713269403299275,0.04118517786877532,0.38461538461538464,屡次 再次 多次 再度 接连 一再 频频 连续 屡 先后 三番五次 首次,连 率先 次 初次 一举 频繁 三番五次 反复,重新 屡 频繁 一连 三番五次 曾 次 连续 再度 再次 时隔 多次,屡次 再次 多次 再度 接连 一再 频频 连续 屡 先后 三番五次 首次 接二连三 曾 一度 反复 频繁 一连 次 重新 继续 率先 一举 时隔 初次 连
6,5,0.34461426006992624,0.04396762745456738,0.4,一举一动 动静 动 静 所作所为,所作所为 静 动 动静 一举一动,动 一举一动 静 所作所为 动静,一举一动 动静 动 静 所作所为
7,19,0.3368731877317402,-0.010823096425546002,0.631578947368421,理所当然 无能为力 无所谓 无所作为 无足轻重 一无所知 天经地义 无可厚非 一事无成 顺其自然 一无所有 顺理成章,自然 一事无成 默默无闻 袖手旁观 一无所有 力所能及 无所作为 不可避免,无济于事 力所能及 袖手旁观 无所谓 顺其自然 无所作为 不可避免 无能为力 无可奉告 无可厚非 天经地义 自然,理所当然 无能为力 无所谓 无所作为 无足轻重 一无所知 天经地义 无可厚非 一事无成 顺其自然 一无所有 顺理成章 无济于事 不可避免 力所能及 无可奉告 袖手旁观 默默无闻 自然
8,36,0.36522072427327773,0.02836676933672218,0.4444444444444444,许多 诸多 一些 各种 各式各样 众多 好多 无数 不少 种种 一系列 这些,多方面 各个 一系列 这些 哪些 乱七八糟 多样 别的,若干 少量 多 些 不少 许多 等 哪些 无数 一连串 种种 形形色色,许多 诸多 一些 各种 各式各样 众多 好多 无数 不少 种种 一系列 这些 形形色色 大量 多种 那些 些 大批 哪些 多少 一连串 各个 成千上万 诸如此类 别的 五花八门 若干 层出不穷 乱七八糟 其他 之类 多方面 多 等 少量 多样
9,23,0.349791339956254,0.0351735534331707,0.34782608695652173,后代 后裔 祖先 传承 传人 世代 家族 继承 后人 血缘 一代 世袭,发源地 发扬光大 代 族 血缘 祖籍 家族 相传,祖先 祖传 姓 祖籍 代 血脉 族 后人 后代 世代 传承 故乡,后代 后裔 祖先 传承 传人 世代 家族 继承 后人 血缘 一代 世袭 祖传 血脉 祖籍 发扬光大 故乡 相传 姓 代 下一代 族 发源地
